Time,Open,High,Low,Close,Volume
2021-05-27 00:00:00+00:00,38.9,39.07,37.45,38.3,3634
2021-05-28 00:00:00+00:00,38.17,38.37,37.8,38.11,1598
2021-05-31 00:00:00+00:00,38.75,38.75,37.39,37.55,1834
2021-06-01 00:00:00+00:00,37.48,37.73,37.03,37.54,1802
2021-06-02 00:00:00+00:00,37.54,37.74,37.05,37.2,1914
2021-06-03 00:00:00+00:00,37.98,37.98,37.01,37.13,1808
2021-06-04 00:00:00+00:00,37.21,37.25,36.38,36.46,2338
2021-06-07 00:00:00+00:00,36.45,36.92,36.24,36.7,656
2021-06-08 00:00:00+00:00,36.21,37.1,36.21,36.62,758
2021-06-09 00:00:00+00:00,36.95,36.95,35.84,35.96,1882
2021-06-10 00:00:00+00:00,35.92,36.14,35.5,35.8,2052
2021-06-11 00:00:00+00:00,35.65,36.24,35.65,36.13,980
2021-06-14 00:00:00+00:00,36.01,36.53,36.0,36.25,692
2021-06-15 00:00:00+00:00,35.8,37.0,35.8,36.2,1178
2021-06-16 00:00:00+00:00,36.2,36.8,35.15,35.7,1606
2021-06-17 00:00:00+00:00,35.69,36.5,35.4,35.68,1842
2021-06-18 00:00:00+00:00,35.71,36.54,35.71,35.86,810
2021-06-21 00:00:00+00:00,36.5,36.5,35.18,36.09,900
2021-06-22 00:00:00+00:00,36.29,36.33,35.65,36.02,846
2021-06-23 00:00:00+00:00,36.03,37.0,35.45,36.83,3770
2021-06-24 00:00:00+00:00,36.93,37.36,36.05,36.51,1682
2021-06-25 00:00:00+00:00,36.14,37.63,36.12,37.32,2776
2021-06-28 00:00:00+00:00,37.86,38.6,37.2,37.7,4878
2021-06-29 00:00:00+00:00,37.8,38.0,37.41,37.41,2224
2021-06-30 00:00:00+00:00,37.98,38.41,37.54,38.3,5552
2021-07-01 00:00:00+00:00,38.38,39.9,38.23,39.05,11716
2021-07-02 00:00:00+00:00,39.04,39.34,38.5,38.72,3152
