Time,Open,High,Low,Close,Volume
2021-05-27 00:00:00+00:00,70.72,71.72,70.0,71.72,2161691
2021-05-28 00:00:00+00:00,71.2,71.3,69.38,70.0,1881171
2021-05-31 00:00:00+00:00,69.92,70.34,69.82,69.9,770460
2021-06-01 00:00:00+00:00,70.1,71.36,70.08,70.98,1656277
2021-06-02 00:00:00+00:00,71.1,71.32,70.42,71.0,1129039
2021-06-03 00:00:00+00:00,71.36,71.82,70.82,71.5,1299810
2021-06-04 00:00:00+00:00,71.5,71.58,70.82,71.2,930498
2021-06-07 00:00:00+00:00,71.44,71.72,71.0,71.2,899403
2021-06-08 00:00:00+00:00,71.4,71.48,71.0,71.08,628728
2021-06-09 00:00:00+00:00,71.42,73.9,71.32,73.44,4278942
2021-06-10 00:00:00+00:00,73.92,74.6,72.5,73.2,2897157
2021-06-11 00:00:00+00:00,73.62,74.1,72.92,73.9,1654018
2021-06-14 00:00:00+00:00,73.4,73.58,72.1,72.18,1676921
2021-06-15 00:00:00+00:00,72.46,72.46,70.5,71.02,2038277
2021-06-16 00:00:00+00:00,70.66,71.44,69.7,69.7,2397459
2021-06-17 00:00:00+00:00,69.98,70.68,69.12,69.84,2015838
2021-06-18 00:00:00+00:00,69.96,71.82,69.42,69.68,2777380
2021-06-21 00:00:00+00:00,71.5,72.2,70.5,70.94,1278159
2021-06-22 00:00:00+00:00,71.4,71.9,70.9,71.58,949057
2021-06-23 00:00:00+00:00,71.8,72.0,70.06,70.34,1588394
2021-06-24 00:00:00+00:00,70.66,70.66,68.8,69.2,2096590
2021-06-25 00:00:00+00:00,69.16,70.62,69.16,69.98,1520983
2021-06-28 00:00:00+00:00,69.98,70.4,69.1,69.32,1244858
2021-06-29 00:00:00+00:00,69.2,69.42,67.38,68.06,2213001
2021-06-30 00:00:00+00:00,68.06,68.78,67.2,68.6,1805394
2021-07-01 00:00:00+00:00,68.62,68.8,68.12,68.54,652103
2021-07-02 00:00:00+00:00,68.5,68.88,68.22,68.58,556131
2021-07-05 00:00:00+00:00,68.6,69.48,68.6,69.34,738262
2021-07-06 00:00:00+00:00,69.48,69.68,68.2,68.5,924607
2021-07-07 00:00:00+00:00,68.5,68.84,68.0,68.34,605938
2021-07-08 00:00:00+00:00,68.2,68.72,67.56,68.5,956559
2021-07-09 00:00:00+00:00,68.6,69.14,68.18,68.74,823293
2021-07-12 00:00:00+00:00,68.88,68.96,68.4,68.84,372296
2021-07-13 00:00:00+00:00,68.9,69.08,68.18,68.28,648259
2021-07-14 00:00:00+00:00,68.1,68.36,67.82,68.04,805282
2021-07-15 00:00:00+00:00,68.3,68.3,67.66,67.76,592087
2021-07-16 00:00:00+00:00,67.76,67.92,66.6,66.78,1112611
2021-07-19 00:00:00+00:00,66.58,66.72,65.8,66.7,1122603
2021-07-20 00:00:00+00:00,66.8,68.08,66.7,67.68,962611
2021-07-21 00:00:00+00:00,68.0,68.02,67.22,67.8,501729
2021-07-22 00:00:00+00:00,67.8,67.8,66.76,67.22,737386
2021-07-23 00:00:00+00:00,67.28,67.34,66.8,66.94,365923
2021-07-26 00:00:00+00:00,66.54,67.0,66.02,66.4,849155
2021-07-27 00:00:00+00:00,66.3,66.48,65.72,66.1,632048
2021-07-28 00:00:00+00:00,66.28,67.44,66.12,67.44,739841
2021-07-29 00:00:00+00:00,67.4,67.78,67.04,67.24,597478
2021-07-30 00:00:00+00:00,67.16,67.62,66.74,67.16,612737
2021-08-02 00:00:00+00:00,67.64,67.94,66.32,66.78,961714
2021-08-03 00:00:00+00:00,66.94,67.38,66.64,67.24,438501
2021-08-04 00:00:00+00:00,67.4,67.46,66.64,66.78,532551
2021-08-05 00:00:00+00:00,66.66,67.58,66.66,67.32,747744
2021-08-06 00:00:00+00:00,67.32,67.42,66.72,66.86,433584
2021-08-09 00:00:00+00:00,66.98,67.26,66.72,66.9,494550
2021-08-10 00:00:00+00:00,67.24,67.32,66.88,67.04,472065
2021-08-11 00:00:00+00:00,67.16,67.28,66.92,67.12,363811
2021-08-12 00:00:00+00:00,67.2,67.3,66.8,67.0,383242
2021-08-13 00:00:00+00:00,67.0,67.1,66.52,66.8,335032
2021-08-16 00:00:00+00:00,66.72,66.98,66.4,66.92,389239
2021-08-17 00:00:00+00:00,66.94,67.34,66.72,67.0,438801
2021-08-18 00:00:00+00:00,67.12,69.3,67.02,67.92,2236490
2021-08-19 00:00:00+00:00,67.92,68.0,66.32,67.2,1357368
2021-08-20 00:00:00+00:00,67.2,67.5,67.12,67.14,335055
2021-08-23 00:00:00+00:00,67.3,68.8,67.3,68.44,798834
2021-08-24 00:00:00+00:00,68.5,68.72,67.84,68.28,553447
2021-08-25 00:00:00+00:00,68.3,68.58,68.04,68.22,321975
2021-08-26 00:00:00+00:00,68.26,68.4,67.68,68.06,433216
2021-08-27 00:00:00+00:00,68.06,69.12,67.46,68.64,760205
2021-08-30 00:00:00+00:00,68.66,69.86,68.66,69.28,1594831
2021-08-31 00:00:00+00:00,69.28,69.78,69.06,69.32,952544
2021-09-01 00:00:00+00:00,69.58,70.38,69.16,69.48,1338698
2021-09-02 00:00:00+00:00,69.48,69.9,69.12,69.42,661151
2021-09-03 00:00:00+00:00,69.46,69.98,69.18,69.4,630641
2021-09-06 00:00:00+00:00,69.5,69.72,68.66,68.8,762238
2021-09-07 00:00:00+00:00,68.76,69.12,67.88,68.16,1286538
2021-09-08 00:00:00+00:00,68.16,68.16,67.04,67.44,1264478
2021-09-09 00:00:00+00:00,67.4,67.4,66.56,66.74,932449
2021-09-10 00:00:00+00:00,66.5,67.5,66.5,66.98,582381
2021-09-13 00:00:00+00:00,67.12,67.58,66.96,67.38,528897
2021-09-14 00:00:00+00:00,67.6,67.64,66.92,66.98,486972
2021-09-15 00:00:00+00:00,66.9,67.16,66.66,67.02,559690
2021-09-16 00:00:00+00:00,67.2,67.2,66.28,66.64,849428
2021-09-17 00:00:00+00:00,66.7,67.08,66.62,66.8,536226
2021-09-20 00:00:00+00:00,66.8,66.84,65.84,66.16,660233
2021-09-21 00:00:00+00:00,66.22,67.18,66.2,67.12,791018
2021-09-22 00:00:00+00:00,67.34,67.5,66.62,67.28,674116
2021-09-23 00:00:00+00:00,67.48,67.48,66.74,67.1,580855
2021-09-24 00:00:00+00:00,67.02,69.36,66.84,69.1,2318041
2021-09-27 00:00:00+00:00,69.1,71.44,68.32,70.4,3060567
2021-09-28 00:00:00+00:00,70.5,70.74,68.2,69.12,1624790
2021-09-29 00:00:00+00:00,68.9,72.0,68.8,69.9,2101983
2021-09-30 00:00:00+00:00,70.12,71.8,69.3,69.96,1775659
2021-10-01 00:00:00+00:00,69.9,70.98,69.06,70.0,1030432
2021-10-04 00:00:00+00:00,70.38,70.38,69.02,69.22,868571
2021-10-05 00:00:00+00:00,69.22,70.06,69.04,69.86,910039
2021-10-06 00:00:00+00:00,70.0,71.5,69.16,70.64,2165717
2021-10-07 00:00:00+00:00,71.0,71.78,70.64,71.06,1433530
2021-10-08 00:00:00+00:00,71.58,72.04,70.46,70.98,1411423
2021-10-11 00:00:00+00:00,71.0,71.2,70.22,70.36,586566
2021-10-12 00:00:00+00:00,70.18,70.88,70.02,70.7,527329
2021-10-13 00:00:00+00:00,70.46,70.8,69.78,70.22,719089
2021-10-14 00:00:00+00:00,70.22,70.38,69.8,70.08,652025
2021-10-15 00:00:00+00:00,70.08,70.26,69.5,69.68,494346
2021-10-18 00:00:00+00:00,69.6,70.1,69.34,69.76,572973
2021-10-19 00:00:00+00:00,69.82,69.98,69.02,69.26,648138
2021-10-20 00:00:00+00:00,69.04,69.24,68.2,68.58,708019
2021-10-21 00:00:00+00:00,68.5,69.16,67.12,67.64,1160635
2021-10-22 00:00:00+00:00,67.7,68.32,67.66,67.9,614908
2021-10-25 00:00:00+00:00,67.12,68.5,67.12,67.84,500235
2021-10-26 00:00:00+00:00,67.86,68.0,67.5,67.52,369944
2021-10-27 00:00:00+00:00,67.5,68.94,67.16,68.94,800847
2021-10-28 00:00:00+00:00,68.6,69.38,67.56,68.18,1004992
2021-10-29 00:00:00+00:00,68.14,69.34,67.74,68.48,1107783
