Time,Open,High,Low,Close,Volume
2023-05-27 15:00:00+00:00,39.88,40.23,39.81,39.81,1078
2023-05-28 07:00:00+00:00,39.81,40.21,39.81,40.18,1185
2023-05-28 08:00:00+00:00,40.18,40.19,39.82,40.15,1120
2023-05-28 09:00:00+00:00,40.15,40.16,39.82,40.15,401
2023-05-28 10:00:00+00:00,39.82,40.16,39.82,40.16,344
2023-05-28 11:00:00+00:00,40.16,40.19,39.83,40.17,693
2023-05-28 12:00:00+00:00,40.17,40.18,39.84,39.84,258
2023-05-28 13:00:00+00:00,40.17,40.17,39.8,40.13,526
2023-05-28 14:00:00+00:00,40.13,40.76,39.92,40.45,8393
2023-05-28 15:00:00+00:00,40.46,40.46,40.0,40.36,1178
2023-05-29 06:00:00+00:00,40.25,40.25,40.25,40.25,3548
2023-05-29 07:00:00+00:00,40.25,40.86,40.15,40.39,454217
2023-05-29 08:00:00+00:00,40.4,40.45,40.2,40.28,93288
2023-05-29 09:00:00+00:00,40.25,40.44,40.2,40.4,123257
2023-05-29 10:00:00+00:00,40.4,40.56,40.3,40.36,116903
2023-05-29 11:00:00+00:00,40.36,40.39,40.23,40.31,120446
2023-05-29 12:00:00+00:00,40.3,40.39,40.26,40.38,37085
2023-05-29 13:00:00+00:00,40.37,40.49,40.3,40.37,83183
2023-05-29 14:00:00+00:00,40.38,40.45,40.32,40.44,38505
2023-05-29 15:00:00+00:00,40.43,40.5,40.42,40.5,88206
2023-05-29 16:00:00+00:00,40.4,40.8,40.4,40.57,119609
2023-05-29 17:00:00+00:00,40.55,40.77,40.55,40.72,72991
2023-05-29 18:00:00+00:00,40.72,40.72,40.4,40.5,112715
2023-05-29 19:00:00+00:00,40.52,40.54,40.46,40.54,41320
2023-05-29 20:00:00+00:00,40.54,40.58,40.46,40.53,47978
2023-05-30 06:00:00+00:00,39.78,39.78,39.78,39.78,18911
2023-05-30 07:00:00+00:00,39.81,40.42,39.55,40.35,351079
2023-05-30 08:00:00+00:00,40.35,40.35,39.92,40.05,191062
2023-05-30 09:00:00+00:00,40.06,40.16,40.0,40.15,51090
2023-05-30 10:00:00+00:00,40.16,40.3,40.08,40.12,67562
2023-05-30 11:00:00+00:00,40.12,40.14,39.96,40.09,84094
2023-05-30 12:00:00+00:00,40.08,40.1,40.0,40.06,38894
2023-05-30 13:00:00+00:00,40.06,40.07,39.54,39.74,292087
2023-05-30 14:00:00+00:00,39.75,39.75,39.1,39.56,452191
2023-05-30 15:00:00+00:00,39.53,39.56,39.27,39.34,173914
2023-05-30 16:00:00+00:00,39.34,40.34,39.17,40.02,342393
2023-05-30 17:00:00+00:00,40.02,40.19,39.87,40.0,410692
2023-05-30 18:00:00+00:00,40.0,40.04,39.85,39.98,47706
