Time,Open,High,Low,Close,Volume
2021-05-27 00:00:00+00:00,12.5,12.5,12.205,12.31,1697
2021-05-28 00:00:00+00:00,12.21,12.99,12.21,12.52,8936
2021-05-31 00:00:00+00:00,12.5,13.085,12.25,12.81,14042
2021-06-01 00:00:00+00:00,12.925,13.15,12.86,12.98,6632
2021-06-02 00:00:00+00:00,13.0,13.25,12.93,13.05,7173
2021-06-03 00:00:00+00:00,13.2,13.3,12.91,12.925,4344
2021-06-04 00:00:00+00:00,12.905,13.195,12.905,12.975,3665
2021-06-07 00:00:00+00:00,13.15,13.5,12.0,12.8,26796
2021-06-08 00:00:00+00:00,12.855,13.175,12.62,12.66,6566
2021-06-09 00:00:00+00:00,12.76,13.065,12.535,12.66,4808
2021-06-10 00:00:00+00:00,12.805,12.805,12.27,12.29,4627
2021-06-11 00:00:00+00:00,12.25,12.485,12.115,12.44,2926
2021-06-14 00:00:00+00:00,12.825,12.825,12.285,12.395,1656
2021-06-15 00:00:00+00:00,12.69,12.69,12.35,12.36,2133
2021-06-16 00:00:00+00:00,12.445,12.695,12.15,12.25,1836
2021-06-17 00:00:00+00:00,12.265,12.62,12.255,12.375,3069
2021-06-18 00:00:00+00:00,12.43,12.555,12.12,12.19,1951
2021-06-21 00:00:00+00:00,12.255,12.425,11.885,12.05,1857
2021-06-22 00:00:00+00:00,11.925,12.22,11.925,12.025,1395
2021-06-23 00:00:00+00:00,12.075,12.17,11.49,11.695,7237
2021-06-24 00:00:00+00:00,11.515,12.145,11.11,11.32,8441
2021-06-25 00:00:00+00:00,11.585,11.585,10.95,11.0,3130
2021-06-28 00:00:00+00:00,11.02,11.73,10.97,11.59,5941
2021-06-29 00:00:00+00:00,11.63,11.69,11.3,11.3,1306
2021-06-30 00:00:00+00:00,10.995,11.565,10.725,11.085,12205
2021-07-01 00:00:00+00:00,11.15,11.5,11.0,11.1,5055
2021-07-02 00:00:00+00:00,11.1,11.69,11.1,11.38,6419
2021-07-05 00:00:00+00:00,11.43,11.72,11.415,11.57,2940
2021-07-06 00:00:00+00:00,11.56,11.695,11.125,11.225,3189
2021-07-07 00:00:00+00:00,11.055,11.33,11.03,11.17,1500
2021-07-08 00:00:00+00:00,11.18,11.2,11.05,11.085,859
2021-07-09 00:00:00+00:00,11.15,11.25,11.055,11.165,1004
2021-07-12 00:00:00+00:00,11.19,11.565,11.09,11.4,3942
2021-07-13 00:00:00+00:00,11.415,12.65,11.39,12.4,23595
2021-07-14 00:00:00+00:00,12.6,13.465,12.405,12.435,21103
2021-07-15 00:00:00+00:00,12.595,12.75,11.91,12.13,7874
2021-07-16 00:00:00+00:00,12.17,12.85,12.0,12.01,6901
2021-07-19 00:00:00+00:00,12.315,12.445,11.605,12.055,5915
2021-07-20 00:00:00+00:00,12.26,12.94,12.11,12.795,10573
2021-07-21 00:00:00+00:00,13.0,13.05,12.64,12.69,2869
2021-07-22 00:00:00+00:00,12.715,13.895,12.575,13.485,11428
2021-07-23 00:00:00+00:00,13.9,15.995,13.325,15.4,52023
2021-07-26 00:00:00+00:00,15.7,16.615,14.63,16.125,46176
2021-07-27 00:00:00+00:00,16.49,17.93,16.1,17.925,61815
2021-07-28 00:00:00+00:00,18.0,18.83,15.765,16.0,65545
2021-07-29 00:00:00+00:00,16.0,16.53,15.065,15.13,23271
2021-07-30 00:00:00+00:00,15.37,16.9,14.6,16.4,38132
2021-08-02 00:00:00+00:00,17.0,17.34,16.415,16.9,17846
2021-08-03 00:00:00+00:00,16.9,17.395,16.55,16.92,13449
2021-08-04 00:00:00+00:00,16.92,17.05,16.175,16.545,9453
2021-08-05 00:00:00+00:00,16.78,16.78,16.165,16.38,7086
2021-08-06 00:00:00+00:00,16.385,16.685,16.13,16.13,4008
2021-08-09 00:00:00+00:00,16.24,16.365,15.5,15.64,10948
2021-08-10 00:00:00+00:00,15.875,16.63,15.64,16.5,14268
2021-08-11 00:00:00+00:00,16.675,16.985,16.225,16.38,6856
2021-08-12 00:00:00+00:00,16.58,16.58,16.085,16.18,3558
2021-08-13 00:00:00+00:00,16.455,19.33,16.455,17.4,89668
2021-08-16 00:00:00+00:00,17.655,18.75,17.43,18.25,36712
2021-08-17 00:00:00+00:00,18.95,18.95,17.58,17.985,15417
2021-08-18 00:00:00+00:00,17.855,18.175,17.66,17.76,5721
2021-08-19 00:00:00+00:00,17.815,17.815,17.12,17.56,6860
